VideoID,topic_quantum,holistic,technology2,application,laser,mri,smartphone,computer,nuclear,qcomputer,qnetwork,qsensor,spooky,spooky_quote,economic,economic_sentence,benefits,benefits_sentence,progress,progress_quote,b_life,b_finance,b_logistics,b_security,b_defense,b_energy,b_argiculture,risks,risks_quote,r_life,r_finance,r_logistics,r_security,r_defense,r_energy,r_argiculture,superposition,explain_superposition,quote_superposition,entanglement,explain_entanglement,quote_entanglement,explain_contextuality,quote_contextuality
SRfk7Vdfcco,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0,-9
stu_h7u9dLA,0,0,1,1,0,0,0,0,0,1,0,0,0,-9,0, ,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0,-9
sw4_9xhGzjo,2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0,-9
Sz_Wqx1LnnI,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,1,"In quantum physics, this is called the observer effect. 
Things change depending on the position of the observer, go ahead Google observer effect, Schrodinger’s cat, double slit theory. "
szpRWghsIZw,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0,-9
T0fYRZuauGA,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0,-9
T1Ogwa76yQo,0,1,1,1,0,0, , , ,1, , ,1,"The Universe is following strange rules:
Einstein's general relativity,
Planck's quantum physics.
But it may be even stranger
than you think,",0, ,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0, 
t2mUebq5PXU,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0,-9
TCdgpY-qloI,2,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,1,"If a Carrington event was to occur today, the global damage to electrical and communication systems could be catastrophic.[…] So, therefore being able to detect these molecules and their barcodes and how they change to the magnetic field can tell us about how the magnetic field within a sunspot is changing, and we know that these sunspots are related to these coronal mass ejections. ",0,-9,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0,-9
td2adum4hvY,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,0,0, ,0,-9
TdfFEO-lFD0,0,1,0,0,0,0,0,0,0,0,0,0,1,"One has found out that some very simple observables, like velocity for instance or the location of particle, have a strange property namely that it makes it different whether you first measure the velocity and then the location or otherwise around. ",0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,0, ,1,1,"Okay, entanglement means that if you have a system which contains complementary observables, the system creates patterns or correlations independent of spatial and temporal distances. ",0,-9
Thz0qEwYxp8,0,0,0,0,0,0,0,0,0,0,0,0,1,"so at this point I’d like to turn over a description of a very famous, very strange experiment, called the double slit experiment to dr. quantum.",0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,"The conclusion is inescapable, the single electron leaves as a particle, becomes a wave of potentials, goes through both slits and interferes with itself to hit the wall like a particle.
But mathematically it’s even stranger! 
It goes through both slits and it goes through neither and it goes through just one and it goes through just the other. 
All of these possibilities are in superposition with each other",0,0,-9,1,"It produced a pattern of two bands, not an interference pattern of many.
The very act of measuring or observing which slit it went through meant it only went through one, not both.
The electron decided to act differently, as though it was aware it was being watched. "
